generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
10467,5992,22215.7155,6291.2597,21450.0714,-5792.7202,-15.1165,-14.2536,1.7500,39.746,79.04,77.93
10488,6004,22259.8759,6303.7654,21492.0714,-5806.5766,-15.1227,-15.0368,1.7500,39.826,79.50,78.42
10510,6016,22306.4806,6316.9634,21537.0714,-5818.7010,-15.1226,-14.4793,1.8333,39.905,79.22,78.06
10531,6028,22349.8295,6329.2393,21581.3214,-5821.1135,-15.0990,-14.4793,1.7500,39.985,80.03,78.87
10552,6040,22396.3420,6342.4112,21624.0714,-5841.2176,-15.1202,-14.4793,1.7500,40.066,80.68,79.56
10573,6052,22439.6913,6354.6873,21668.3214,-5843.6301,-15.0966,-14.4793,1.7500,40.146,79.67,78.57
10594,6064,22485.6785,6367.7104,21710.9286,-5862.2497,-15.1142,-14.7047,1.7500,40.225,79.14,78.04
10615,6076,22529.5532,6380.1352,21755.3214,-5866.1468,-15.0943,-14.4793,1.7500,40.303,78.54,77.45
10636,6088,22575.5401,6393.1582,21797.9286,-5884.7663,-15.1118,-14.4793,1.7500,40.382,78.65,77.57
10657,6100,22619.4151,6405.5832,21842.3214,-5888.6635,-15.0920,-14.4793,1.7500,40.462,79.71,78.63
10676,6112,22662.0322,6417.6519,21881.3214,-5907.7160,-15.1128,-14.5685,1.5833,40.540,78.61,77.59
10698,6124,22709.1836,6431.0047,21927.0714,-5919.1599,-15.1106,-15.0368,1.8333,40.621,81.25,80.07
10719,6136,22752.5344,6443.2812,21971.3214,-5921.5724,-15.0874,-13.9523,1.7500,40.700,78.12,77.00
10740,6148,22799.0452,6456.4526,22014.0714,-5941.6766,-15.1082,-15.0368,1.7500,40.780,80.20,79.08
10761,6160,22842.3964,6468.7292,22058.3214,-5944.0891,-15.0852,-13.9523,1.7500,40.859,79.05,77.89
10782,6172,22888.9069,6481.9005,22101.0714,-5964.1932,-15.1059,-14.4793,1.7500,40.940,80.72,79.61
