generation,path_length_rings,euclid_distance,effective_rings,global_x,global_y,heading_running,heading_windowed,local_clock,elapsed_s,hop_ms,patch_ms
18577,10639,39767.2593,9296.0317,-27845.1071,-28387.8797,-134.4494,-134.4793,1.7500,74.530,84.01,82.84
18598,10651,39811.6968,9306.4195,-27881.3214,-28414.6028,-134.4597,-134.4793,1.7500,74.615,84.30,83.16
18619,10663,39857.1258,9317.0390,-27908.1071,-28451.9656,-134.4495,-134.4793,1.7500,74.698,83.90,82.74
18640,10675,39901.5633,9327.4268,-27944.3214,-28478.6887,-134.4598,-134.4793,1.7500,74.783,84.36,83.16
18661,10687,39946.9923,9338.0463,-27971.1071,-28516.0515,-134.4497,-134.4793,1.7500,74.866,83.20,82.05
18682,10699,39991.4299,9348.4341,-28007.3214,-28542.7746,-134.4599,-134.4793,1.7500,74.950,83.72,82.57
18703,10711,40036.8588,9359.0536,-28034.1071,-28580.1374,-134.4498,-134.4793,1.7500,75.035,85.08,83.91
18724,10723,40082.3074,9369.6777,-28071.0714,-28607.5409,-134.4601,-134.4833,1.7500,75.120,85.07,83.89
18745,10735,40126.7253,9380.0609,-28097.1071,-28644.2232,-134.4499,-134.4793,1.7500,75.203,83.31,82.17
18765,10747,40169.9900,9390.1744,-28127.1071,-28675.4002,-134.4493,-133.9661,1.6667,75.288,85.00,83.82
18786,10759,40214.9365,9400.6812,-28164.6786,-28701.5046,-134.4615,-135.0203,1.7500,75.374,86.15,84.98
18807,10771,40259.8565,9411.1817,-28190.1071,-28739.4860,-134.4495,-134.4793,1.7500,75.459,84.60,83.44
18828,10783,40304.8031,9421.6885,-28227.6786,-28765.5905,-134.4616,-134.4793,1.7500,75.543,84.40,83.28
18849,10795,40349.7230,9432.1890,-28253.1071,-28803.5719,-134.4496,-134.4793,1.7500,75.628,84.26,83.08
18870,10807,40394.1605,9442.5768,-28289.3214,-28830.2950,-134.4597,-134.4793,1.7500,75.712,84.34,83.16
18891,10819,40439.5895,9453.1963,-28316.1071,-28867.6578,-134.4498,-134.4793,1.7500,75.796,84.46,83.28
18912,10831,40484.0271,9463.5840,-28352.3214,-28894.3809,-134.4599,-134.4793,1.7500,75.881,84.20,83.06
18933,10843,40529.4560,9474.2036,-28379.1071,-28931.7437,-134.4499,-134.4793,1.7500,75.965,84.53,83.38
18954,10855,40573.8936,9484.5913,-28415.3214,-28958.4667,-134.4600,-134.4793,1.7500,76.050,84.52,83.35
18975,10867,40619.3225,9495.2108,-28442.1071,-28995.8296,-134.4500,-134.4793,1.7500,76.134,84.29,83.11
18996,10879,40663.7601,9505.5986,-28478.3214,-29022.5526,-134.4601,-134.4793,1.7500,76.218,84.19,83.06
